Airport_ICAO_Code,Airport_Name,State,Easting,Northing
KBKF,Buckley Air Force Base,Colorado,2324949.46997206,2035561.72331185
KBUF,Buffalo Niagara International Airport,New-York,5174262.42366301,2507967.86544099
KBKL,Burke Lakefront Airport,Ohio,4851101.00699393,2297509.89790546
KBYI,Burley Municipal Airport,Idaho,1337208.72197388,2448638.9961641
KBUY,Burlington Alamance Regional Airport,North-Carolina,5092932.77906065,1528568.71421859
KBTV,Burlington International Airport,Vermont,5785183.42202076,2739968.14422228
KBUU,Burlington Municipal Airport,Iowa,4126030.94054689,2470677.28610117
KBMQ,Burnet Municipal Kate Craddock Field,Texas,3038202.77273786,831701.544491813
KBNO,Burns Municipal Airport,Oregon,769641.477468897,2605929.13178547
KHAO,Butler Co Regional Airport,Ohio,4540246.76997896,1987585.90905464
KBTP,Butler County-K W Scholter Field,Pennsylvania,5040939.52056079,2189808.7093652
KCMA,Camarillo Airport,California,754420.20932232,1282874.43147468
KNFG,Camp Pendleton MCAS (Munn Field) Airport,California,944850.224519886,1162697.40270791
KHOP,Campbell AAF (Fort Campbell) Air Field,Kentucky,4214555.57698476,1612888.79359448
KCVS,Cannon Air Force Base,New-Mexico,2481542.47458516,1305289.69097406
KCNY,Canyonlands Field,Utah,1777093.25711376,1901728.6000298
KFMH,Cape Cod Coast Guard Air Station,Massachusetts,6073390.81147946,2318139.03356635
KCGI,Cape Girardeau Regional Airport,Missouri,3987375.2884918,1689168.85624436
KWWD,Cape May County Airport,New-Jersey,5593000.60444663,1937388.88581931
KCXY,Capital City Airport,Pennsylvania,5380209.46472135,2109194.6540377
KLAN,Capital City AirportKLAN,Michigan,4533085.19630997,2483797.20595653
KPUC,Carbon County Regional/Buck Davis Field,Utah,1668025.46420788,2023073.26126422
KPCW,Carl R Keller Field,Ohio,4721292.88936221,2297334.16053964
KDMW,Carroll County Regional Jack B Poage Field,Maryland,5363105.06686171,2022277.26425964
KTSO,Carroll County-Tolson Airport,Ohio,4917439.13497071,2158768.11083075
KCXP,Carson Airport,Nevada,684336.708607478,1963310.47375584
KCGZ,Casa Grande Municipal Airport,Arizona,1556767.9331207,1117401.64157264
KCPR,Casper-Natrona County International Airport,Wyoming,2137476.14590692,2503108.01756732
KMER,Castle Airport,California,593009.099038131,1710534.79332162
KOLE,Cattaraugus County-Olean Airport,New-York,5213772.21993154,2403950.12236286
KCNM,Cavern City Air Terminal,New-Mexico,2378497.52198205,1037107.55345716
KVQQ,Cecil Field,Florida,4829922.06481908,765602.815000375
KCDC,Cedar City Regional Airport,Utah,1410906.42796351,1754797.22296865
KAPA,Centennial Airport,Colorado,2314327.4184248,2016849.06093727
KBMI,Central Illinois Regional Airport at Bloomington-Normal,Illinois,4059090.44543495,2146552.4592623
KOWK,Central Maine Arpt of Norridgewock Airport,Maine,6145105.96846642,2777428.30363895
KGRI,Central Nebraska Regional Airport,Nebraska,3030427.97053573,2217410.28923354
KCWA,Central Wisconsin Airport,Wisconsin,3976862.67984879,2787003.03123817
KCDR,Chadron Municipal Airport,Nebraska,2506399.95251894,2492588.74034251
KYKN,Chan Gurney Municipal Airport,South-Dakota,3131578.09706968,2504408.44133484
KAXN,Chandler Field,Minnesota,3349625.95885286,2956566.84611923
KMKC,Charles B. Wheeler Downtown Airport,Missouri,3437438.78231658,1953566.075674
KSTS,Charles M. Schulz Sonoma County Airport,California,347168.789090297,1867243.66919598
KCHS,Charleston Air Force Base-International Airport,South-Carolina,5030996.69584452,1110056.96977552
KJZI,Charleston Executive Airport,South-Carolina,5035113.84920575,1084301.40723981
KCVX,Charlevoix Municipal Airport,Michigan,4457810.97498883,2868706.92265446
KPGD,Charlotte County Airport,Florida,4817460.32553704,354229.58774481
KCLT,Charlotte Douglas International Airport,North-Carolina,4932156.62002893,1416135.31712597
KEQY,Charlotte-Monroe Executive Airport,North-Carolina,4967515.8457443,1390003.16185494
KCHO,Charlottesville Albemarle Airport,Virginia,5204846.98807278,1815541.96012536
KCQX,Chatham Municipal Airport,Massachusetts,6131636.66203305,2322536.98142715
KDKK,Chautauqua County-Dunkirk Airport,New-York,5115151.03542163,2441314.90856636
KJHW,Chautauqua County-Jamestown Airport,New-York,5116684.10689137,2390972.23410647
KSLH,Cheboygan County Airport,Michigan,4540542.52305012,2923197.5752365
KCWF,Chennault International Airport,Louisiana,3596177.25140503,764576.309296335
KTVC,Cherry Capital Airport,Michigan,4424149.40658106,2781420.68915402
KNKT,Cherry Point MCAS /Cunningham Field/,North-Carolina,5377012.15434051,1374250.2143443
KCPK,Chesapeake Regional Airport,Virginia,5438335.00874974,1612479.45693186
KFCI,Chesterfield County Airport,Virginia,5306457.45329675,1714118.57105502
KCYS,Cheyenne Regional Jerry Olson Field,Wyoming,2318379.3984375,2244743.28206297
KPWK,Chicago Executive Airport,Illinois,4170173.68624553,2385186.9444147
KMDW,Chicago Midway International Airport,Illinois,4186499.95342732,2336859.62079152
KORD,Chicago O'Hare International Airport,Illinois,4169811.61482459,2365187.79016824
