Theodore Francis Green State Airport,Detroit Metropolitan Wayne County Airport,1,9
William P Hobby Airport,Lubbock Preston Smith International Airport,1,200
Kerrville Municipal Louis Schreiner Field,William P Hobby Airport,1,75
St Paul Downtown Holman Field,Florence Regional Airport,1,250
Sidney Richland Municipal Airport,St Paul Downtown Holman Field,1,100
Louis Armstrong New Orleans International Airport,George Bush Intercontinental Houston Airport,1,65
Wichita Mid Continent Airport,Dallas Fort Worth International Airport,1,11
Richmond International Airport,Cincinnati Northern Kentucky International Airport,1,93
Montgomery Field,El Monte Airport,1,87
Tulsa International Airport,Dallas Fort Worth International Airport,1,36
Albany International Airport,Cincinnati Northern Kentucky International Airport,1,57
General Mitchell International Airport,Capital City Airport,1,110
Ford Airport,General Mitchell International Airport,1,34
Imperial County Airport,San Diego International Airport,1,24
McCarran International Airport,Phoenix Sky Harbor International Airport,1,45
Bob Hope Airport,Hayward Executive Airport,1,370
Tucson International Airport,Phoenix Sky Harbor International Airport,1,11
The Eastern Iowa Airport,Cincinnati Northern Kentucky International Airport,1,204
Reno Tahoe International Airport,San Francisco International Airport,1,146
Santa Maria Pub/Capt G Allan Hancock Field,El Monte Airport,1,130
Reno Tahoe International Airport,San Francisco International Airport,1,21
Del Rio International Airport,San Antonio International Airport,1,32
Elmira Corning Regional Airport,Buffalo Niagara International Airport,1,50
Plattsburgh International Airport,Buffalo Niagara International Airport,1,23
Phoenix Sky Harbor International Airport,Bob Hope Airport,1,324
Gulfport Biloxi International Airport,Pensacola Regional Airport,1,42
Murray Field,Ukiah Municipal Airport,1,110
Quad City International Airport,Louisville International Standiford Field,1,213
Brownwood Regional Airport,San Antonio International Airport,1,55
Central Nebraska Regional Airport,Eppley Airfield,1,45
Karl Stefan Memorial Airport,Eppley Airfield,1,90
The O'Neill Municipal John L Baker Field,Karl Stefan Memorial Airport,1,49
San Angelo Regional Mathis Field,San Antonio International Airport,1,50
Beatrice Municipal Airport,Eppley Airfield,1,81
Hastings Municipal Airport,Beatrice Municipal Airport,1,31
Kearney Regional Airport,Eppley Airfield,1,51
Rick Husband Amarillo International Airport,Dallas Fort Worth International Airport,1,55
Lubbock Preston Smith International Airport,Dallas Fort Worth International Airport,1,53
Clinton Regional Airport,Dallas Fort Worth International Airport,1,71
Corpus Christi International Airport,San Antonio International Airport,1,66
Jackson Hole Airport,Salt Lake City International Airport,1,28
Carbon County Regional/Buck Davis Field,Salt Lake City International Airport,1,41
Elko Regional Airport,Salt Lake City International Airport,1,30
Logan Cache Airport,Salt Lake City International Airport,1,46
Roberts Field,Portland International Airport,1,22
Rogue Valley International Medford Airport,Portland International Airport,1,19
Astoria Regional Airport,Portland International Airport,1,19
Roberts Field,Portland International Airport,1,151
Mahlon Sweet Field,Portland International Airport,1,165
Roseburg Regional Airport,Mahlon Sweet Field,1,120
Santa Barbara Municipal Airport,Bob Hope Airport,1,78
San Diego International Airport,Ontario International Airport,1,127
Imperial County Airport,San Diego International Airport,1,66
Ontario International Airport,Bob Hope Airport,1,150
Oxnard Airport,Ontario International Airport,1,80
San Luis County Regional Airport,Bob Hope Airport,1,31
Santa Maria Pub/Capt G Allan Hancock Field,Bob Hope Airport,1,65
Visalia Municipal Airport,Ontario International Airport,1,172
Meadows Field,Bob Hope Airport,1,60
Lewiston Nez Perce County Airport,Boeing Field King County International Airport,1,54
Bellingham International Airport,Boeing Field King County International Airport,1,56
Pangborn Memorial Airport,Boeing Field King County International Airport,1,42
Rogue Valley International Medford Airport,Portland International Airport,1,36
Corvallis Municipal Airport,Portland International Airport,1,15
Tri Cities Airport,Boeing Field King County International Airport,1,46
Walla Walla Regional Airport,Tri Cities Airport,1,10
Midland International Airport,San Antonio International Airport,1,55
Klamath Falls Airport,Rogue Valley International Medford Airport,1,90
Yakima Air Terminal McAllister Field,Boeing Field King County International Airport,1,48
Sacramento Executive Airport,Metropolitan Oakland International Airport,1,262
Chico Municipal Airport,Yuba County Airport,1,217
Yuma MCAS/Yuma International Airport,Phoenix Sky Harbor International Airport,1,45
Tucson International Airport,Phoenix Sky Harbor International Airport,1,74
Sierra Vista Municipal Libby Army Air Field,Phoenix Sky Harbor International Airport,1,34
Metropolitan Oakland International Airport,Bob Hope Airport,1,370
Ukiah Municipal Airport,Hayward Executive Airport,1,170
Murray Field,Ukiah Municipal Airport,1,119
Smyrna Airport,Louisville International Standiford Field,1,255
Smyrna Airport,Louisville International Standiford Field,1,250
Visalia Municipal Airport,Fresno Yosemite International Airport,1,174
Payson Airport,Phoenix Sky Harbor International Airport,1,87
Nogales International Airport,Phoenix Sky Harbor International Airport,1,83
Flagstaff Pulliam Airport,Phoenix Sky Harbor International Airport,1,43
Safford Regional Airport,Phoenix Sky Harbor International Airport,1,36
Kingman Airport,Ernest A. Love Field,1,3
Ernest A. Love Field,Phoenix Sky Harbor International Airport,1,77
Nogales International Airport,Phoenix Sky Harbor International Airport,1,97
Roseburg Regional Airport,Portland International Airport,1,179
Klamath Falls Airport,Rogue Valley International Medford Airport,1,85
Pocatello Regional Airport,Salt Lake City International Airport,1,28
Boeing Field King County International Airport,Portland International Airport,1,374
Glacier Park International Airport,Great Falls International Airport,1,45
Rexburg Madison County Airport,Salt Lake City International Airport,1,11
Joslin Field Magic Valley Regional Airport,Salt Lake City International Airport,1,32
Louisville International Standiford Field,Smyrna Airport,1,85
Boeing Field King County International Airport,Portland International Airport,1,189
Portland International Airport,Boeing Field King County International Airport,1,300
Boeing Field King County International Airport,Spokane International Airport,1,95
Spokane International Airport,Boeing Field King County International Airport,1,309
Greater Rochester International Airport,Cincinnati Northern Kentucky International Airport,1,204
Bradley International Airport,Greater Rochester International Airport,1,100
El Paso International Airport,Cincinnati Northern Kentucky International Airport,1,178
Boeing Field King County International Airport,Los Angeles International Airport,1,222
Portland International Airport,Boeing Field King County International Airport,1,89
Denver International Airport,Cincinnati Northern Kentucky International Airport,1,240
Salt Lake City International Airport,Denver International Airport,1,112
Mc Guire Air Force Base,Baltimore/Washington International Thurgood Marshal Airport,1,220
Chicago O'Hare International Airport,Memphis International Airport,1,140
Cincinnati Northern Kentucky International Airport,Gerald R. Ford International Airport,1,130
General Edward Lawrence Logan International Airport,Nashville International Airport,1,172
Austin Bergstrom International Airport,Fort Worth Alliance Airport,1,225
Austin Bergstrom International Airport,Fort Worth Alliance Airport,1,245
Austin Bergstrom International Airport,Fort Worth Alliance Airport,1,210
Del Rio International Airport,San Antonio International Airport,1,31
Del Rio International Airport,San Antonio International Airport,1,61
Smyrna Airport,Memphis International Airport,1,190
Huntsville International Carl T Jones Field,Memphis International Airport,1,274
Huntsville International Carl T Jones Field,Memphis International Airport,1,281
Columbus Metropolitan Airport,Memphis International Airport,1,219
Garden City Regional Airport,Wichita Mid Continent Airport,1,90
Central Nebraska Regional Airport,Eppley Airfield,1,36
Kearney Regional Airport,Eppley Airfield,1,10
North Platte Regional Airport Lee Bird Field,Eppley Airfield,1,19
Central Nebraska Regional Airport,Eppley Airfield,1,49
San Angelo Regional Mathis Field,Austin Bergstrom International Airport,1,49
Brownwood Regional Airport,Austin Bergstrom International Airport,1,64
Easterwood Field,George Bush Intercontinental Houston Airport,1,88
Abilene Regional Airport,Lubbock Preston Smith International Airport,1,23
Roswell International Air Center Airport,Lubbock Preston Smith International Airport,1,54
Abilene Regional Airport,Lubbock Preston Smith International Airport,1,53
Newark Liberty International Airport,Ithaca Tompkins Regional Airport,1,44
Huron Regional Airport,Joe Foss Field Airport,1,12
La Crosse Municipal Airport,Minneapolis-St Paul International/Wold-Chamberlain Airport,1,45
Rice Lake Regional Carl's Field,Minneapolis-St Paul International/Wold-Chamberlain Airport,1,34
Bemidji Regional Airport,Minneapolis-St Paul International/Wold-Chamberlain Airport,1,1
Grand Rapids Itasca Co-Gordon Newstrom field,Minneapolis-St Paul International/Wold-Chamberlain Airport,1,40
Duluth International Airport,Minneapolis-St Paul International/Wold-Chamberlain Airport,1,28
Chandler Field,Minneapolis-St Paul International/Wold-Chamberlain Airport,1,13
Southwest Minnesota Regional-Marshall-Ryan Field,Minneapolis-St Paul International/Wold-Chamberlain Airport,1,13
Thief River Falls Regional Airport,Minneapolis-St Paul International/Wold-Chamberlain Airport,1,33
Brainerd Lakes Regional Airport,Minneapolis-St Paul International/Wold-Chamberlain Airport,1,21
Jamestown Regional Airport,Joe Foss Field Airport,1,45
Devils Lake Regional Airport,Jamestown Regional Airport,1,2
Pocatello Regional Airport,Salt Lake City International Airport,1,1
Joslin Field Magic Valley Regional Airport,Salt Lake City International Airport,1,40
Bemidji Regional Airport,Grand Forks International Airport,1,2
Joslin Field Magic Valley Regional Airport,Salt Lake City International Airport,1,13
Gallatin Field,Great Falls International Airport,1,44
Gallatin Field,Great Falls International Airport,1,22
Yellowstone Regional Airport,Casper-Natrona County International Airport,1,14
L M Clayton Airport,Great Falls International Airport,1,0
Yampa Valley Airport,Casper-Natrona County International Airport,1,47
Western Neb. Rgnl/William B. Heilig Airport,Casper-Natrona County International Airport,1,45
Cincinnati Northern Kentucky International Airport,Rickenbacker International Airport,1,15
Roswell International Air Center Airport,Albuquerque International Sunport Airport,1,55
Gallup Municipal Airport,Albuquerque International Sunport Airport,1,31
Albuquerque International Sunport Airport,Centennial Airport,1,311
Alamogordo White Sands Regional Airport,Albuquerque International Sunport Airport,1,35
Salt Lake City International Airport,Phoenix Sky Harbor International Airport,1,351
St George Municipal Airport,Salt Lake City International Airport,1,118
North Las Vegas Airport,Phoenix Sky Harbor International Airport,1,175
Indianapolis International Airport,Dallas Fort Worth International Airport,1,205
Watertown Regional Airport,Joe Foss Field Airport,1,46
Aberdeen Regional Airport,Joe Foss Field Airport,1,23
Rapid City Regional Airport,Joe Foss Field Airport,1,52
Grand Forks International Airport,Joe Foss Field Airport,1,18
Augusta Regional At Bush Field,Laredo International Airport,1,190
Republic Airport,Teterboro Airport,1,162
Van Nuys Airport,Teterboro Airport,1,300
Napa County Airport,Boeing Field King County International Airport,1,90
Nantucket Memorial Airport,Westchester County Airport,1,36
Long Beach /Daugherty Field/ Airport,Metropolitan Oakland International Airport,1,120
Wichita Mid Continent Airport,Fort Worth Alliance Airport,1,249
Shreveport Regional Airport,Fort Worth Alliance Airport,1,208
Lubbock Preston Smith International Airport,Fort Worth Alliance Airport,1,175
Tulsa International Airport,Fort Worth Alliance Airport,1,224
Skagit Regional Airport,Seattle Tacoma International Airport,1,67
Rapid City Regional Airport,Joe Foss Field Airport,1,18
William R Fairchild International Airport,Seattle Tacoma International Airport,1,41
Rogue Valley International Medford Airport,Portland International Airport,1,137
Roberts Field,Portland International Airport,1,27
Santa Barbara Municipal Airport,Ontario International Airport,1,25
Bellingham International Airport,Seattle Tacoma International Airport,1,9
Flagstaff Pulliam Airport,Phoenix Sky Harbor International Airport,1,26
Gallup Municipal Airport,Albuquerque International Sunport Airport,1,0
Yakima Air Terminal McAllister Field,Spokane International Airport,1,13
Yuma MCAS/Yuma International Airport,Phoenix Sky Harbor International Airport,1,11
Missoula International Airport,Great Falls International Airport,1,33
Denver International Airport,The Eastern Iowa Airport,1,120
Cleveland Hopkins International Airport,Newark Liberty International Airport,1,160
Mobile Regional Airport,Chicago O'Hare International Airport,1,100
Newark Liberty International Airport,Cleveland Hopkins International Airport,1,86
George Bush Intercontinental Houston Airport,Laredo International Airport,1,145
Cleveland Hopkins International Airport,Baltimore/Washington International Thurgood Marshal Airport,1,48
Newark Liberty International Airport,Ronald Reagan Washington National Airport,1,132
Chicago O'Hare International Airport,South Bend Regional Airport,1,139
Chicago O'Hare International Airport,Nashville International Airport,1,32
Denver International Airport,Dallas Fort Worth International Airport,1,115
Chicago O'Hare International Airport,Cleveland Hopkins International Airport,1,43
Nashville International Airport,Newark Liberty International Airport,1,28
George Bush Intercontinental Houston Airport,Tulsa International Airport,1,140
Chicago O'Hare International Airport,Charlotte Douglas International Airport,1,133
Denver International Airport,Will Rogers World Airport,1,197
George Bush Intercontinental Houston Airport,Alexandria International Airport,1,74
San Antonio International Airport,Phoenix-Mesa-Gateway Airport,1,190
Des Moines International Airport,Tulsa International Airport,1,160
Aspen-Pitkin Co/Sardy Field,Fort Worth Meacham International Airport,1,70
Central Wisconsin Airport,General Mitchell International Airport,1,41
Wittman Regional Airport,General Mitchell International Airport,1,65
Dane County Regional Truax Field,General Mitchell International Airport,1,97
Baraboo Wisconsin Dells Airport,General Mitchell International Airport,1,39
Austin Straubel International Airport,General Mitchell International Airport,1,63
Rhinelander Oneida County Airport,General Mitchell International Airport,1,55
Dane County Regional Truax Field,Greater Peoria Regional Airport,1,108
Greater Peoria Regional Airport,General Mitchell International Airport,1,190
General Mitchell International Airport,Dupage Airport,1,250
Harrisburg International Airport,General Mitchell International Airport,1,55
Harrisburg International Airport,General Mitchell International Airport,1,40
General Edward Lawrence Logan International Airport,Newark Liberty International Airport,1,168
Los Angeles International Airport,Fort Worth Alliance Airport,1,216
George Bush Intercontinental Houston Airport,Fort Worth Alliance Airport,1,238
Chicago O'Hare International Airport,Fort Worth Alliance Airport,1,271
Ontario International Airport,Fort Worth Alliance Airport,1,198
Metropolitan Oakland International Airport,Fort Worth Alliance Airport,1,211
San Antonio International Airport,Fort Worth Alliance Airport,1,240
Laredo International Airport,San Antonio International Airport,1,114
Denver International Airport,Fort Worth Alliance Airport,1,243
Hartsfield Jackson Atlanta International Airport,Fort Worth Alliance Airport,1,208
Louis Armstrong New Orleans International Airport,Fort Worth Alliance Airport,1,219
Fort Lauderdale Hollywood International Airport,Memphis International Airport,1,116
Dallas Fort Worth International Airport,Memphis International Airport,1,171
Newark Liberty International Airport,Memphis International Airport,1,105
Des Moines International Airport,Memphis International Airport,1,131
Los Angeles International Airport,Memphis International Airport,1,176
Chicago O'Hare International Airport,Memphis International Airport,1,146
General Edward Lawrence Logan International Airport,Memphis International Airport,1,40
Orlando International Airport,Memphis International Airport,1,113
Tampa International Airport,Memphis International Airport,1,106
Manchester Airport,Memphis International Airport,1,79
Bob Hope Airport,Memphis International Airport,1,143
Ontario International Airport,Memphis International Airport,1,168
Detroit Metropolitan Wayne County Airport,Memphis International Airport,1,197
Norman Y. Mineta San Jose International Airport,Memphis International Airport,1,134
Denver International Airport,Memphis International Airport,1,207
Hartsfield Jackson Atlanta International Airport,Memphis International Airport,1,157
San Diego International Airport,Memphis International Airport,1,147
Seattle Tacoma International Airport,Memphis International Airport,1,139
Richmond International Airport,Memphis International Airport,1,119
Portland International Airport,Memphis International Airport,1,132
Jacksonville International Airport,Memphis International Airport,1,111
Austin Bergstrom International Airport,Memphis International Airport,1,214
Sacramento International Airport,Memphis International Airport,1,137
Salt Lake City International Airport,Memphis International Airport,1,159
Grand Forks International Airport,Memphis International Airport,1,157
Charlotte Douglas International Airport,Memphis International Airport,1,164
Washington Dulles International Airport,Memphis International Airport,1,190
Bradley International Airport,Memphis International Airport,1,118
General Mitchell International Airport,Memphis International Airport,1,189
McCarran International Airport,Memphis International Airport,1,151
Columbia Metropolitan Airport,Memphis International Airport,1,192
Pittsburgh International Airport,Memphis International Airport,1,127
Chicago O'Hare International Airport,Memphis International Airport,1,255
Piedmont Triad International Airport,Memphis International Airport,1,141
Raleigh Durham International Airport,Memphis International Airport,1,127
Eppley Airfield,Memphis International Airport,1,171
Spokane International Airport,Memphis International Airport,1,140
Lehigh Valley International Airport,Memphis International Airport,1,122
Fort Wayne International Airport,Memphis International Airport,1,204
Theodore Francis Green State Airport,Fort Wayne International Airport,1,57
El Paso International Airport,Memphis International Airport,1,166
Shreveport Regional Airport,Memphis International Airport,1,196
Lubbock Preston Smith International Airport,Memphis International Airport,1,182
Cincinnati Northern Kentucky International Airport,Memphis International Airport,1,179
Miami International Airport,Memphis International Airport,1,95
Phoenix Sky Harbor International Airport,Memphis International Airport,1,181
Hartsfield Jackson Atlanta International Airport,Memphis International Airport,1,228
The Eastern Iowa Airport,Memphis International Airport,1,188
Valley International Airport,Memphis International Airport,1,155
Southwest Florida International Airport,Memphis International Airport,1,123
Metropolitan Oakland International Airport,Memphis International Airport,1,146
Bishop International Airport,Memphis International Airport,1,140
Lafayette Regional Airport,Memphis International Airport,1,233
Will Rogers World Airport,Memphis International Airport,1,208
General Edward Lawrence Logan International Airport,Memphis International Airport,1,144
John F Kennedy International Airport,Memphis International Airport,1,140
Greenville Spartanburg International Airport,Memphis International Airport,1,157
